Run,Model,Attack Intensity,Accuracy,Confidence
4,UA,0.1,0.5600000023841858,2.618903160095215
4,UA,0.25,0.4099999964237213,2.549854278564453
4,UA,0.5,0.4599999785423279,2.794635534286499
4,UA,1.0,0.47999998927116394,2.3754162788391113
4,UA,2.0,0.5,2.5834734439849854
4,UA,4.0,0.429999977350235,2.4206764698028564
4,UA,8.0,0.47999998927116394,2.9995129108428955
4,UN,0.0,0.6699999570846558,4.334041595458984
4,UN,0.1,0.3799999952316284,13.447361946105957
4,UN,0.25,0.3999999761581421,13.918086051940918
4,UN,0.5,0.4699999988079071,12.81065845489502
4,UN,1.0,0.4099999964237213,12.88832950592041
4,UN,2.0,0.41999998688697815,13.148101806640625
4,UN,4.0,0.47999998927116394,12.927155494689941
4,UN,8.0,0.429999977350235,13.326696395874023
4,AU,0.0,0.7899999618530273,3.913503646850586
4,AU,0.1,0.32999998331069946,17.052997589111328
4,AU,0.25,0.3799999952316284,16.108001708984375
4,AU,0.5,0.41999998688697815,16.91409683227539
4,AU,1.0,0.4099999964237213,17.767629623413086
4,AU,2.0,0.3499999940395355,16.593332290649414
4,AU,4.0,0.3700000047683716,16.849700927734375
4,AU,8.0,0.4699999988079071,17.84610366821289
4,AA,0.0,0.6899999976158142,2.617464303970337
4,AA,0.1,0.3100000023841858,4.057352542877197
4,AA,0.25,0.44999998807907104,4.313028335571289
4,AA,0.5,0.3799999952316284,4.52170991897583
4,AA,1.0,0.3700000047683716,4.403260707855225
4,AA,2.0,0.41999998688697815,4.677451133728027
4,AA,4.0,0.2800000011920929,4.300037860870361
4,AA,8.0,0.4599999785423279,4.5619330406188965
4,AN,0.0,0.6699999570846558,3.245530605316162
4,AN,0.1,0.429999977350235,14.04418659210205
4,AN,0.25,0.4599999785423279,13.548202514648438
4,AN,0.5,0.41999998688697815,13.338239669799805
4,AN,1.0,0.3999999761581421,13.898564338684082
4,AN,2.0,0.3499999940395355,13.51705551147461
4,AN,4.0,0.4599999785423279,14.103300094604492
4,AN,8.0,0.32999998331069946,13.255746841430664
