Run,Model,Attack Intensity,Accuracy,Confidence
2,UA,4.0,0.04999999701976776,1.237061619758606
2,UA,8.0,0.03999999910593033,1.2744444608688354
2,UN,0.0,0.5999999642372131,4.573251724243164
2,UN,0.1,0.019999999552965164,6.070716857910156
2,UN,0.25,0.0,5.4679789543151855
2,UN,0.5,0.0,7.3151535987854
2,UN,1.0,0.0,7.777137756347656
2,UN,2.0,0.0,6.7748847007751465
2,UN,4.0,0.0,5.483691215515137
2,UN,8.0,0.0,4.766211032867432
2,AU,0.0,0.7999999523162842,3.2637224197387695
2,AU,0.1,0.009999999776482582,3.8559086322784424
2,AU,0.25,0.0,4.90690279006958
2,AU,0.5,0.009999999776482582,3.5350725650787354
2,AU,1.0,0.0,2.6777288913726807
2,AU,2.0,0.0,1.904765248298645
2,AU,4.0,0.0,1.2857993841171265
2,AU,8.0,0.0,1.4359991550445557
2,AA,0.0,0.6800000071525574,2.161576271057129
2,AA,0.1,0.14999999105930328,2.019423246383667
2,AA,0.25,0.09999999403953552,2.1947145462036133
2,AA,0.5,0.05999999865889549,1.3372787237167358
2,AA,1.0,0.08999999612569809,1.0317420959472656
2,AA,2.0,0.08999999612569809,0.6488038301467896
2,AA,4.0,0.05999999865889549,0.5400024056434631
2,AA,8.0,0.05999999865889549,0.4333804249763489
2,AN,0.0,0.6399999856948853,2.6325936317443848
2,AN,0.1,0.019999999552965164,3.6227736473083496
2,AN,0.25,0.0,4.634122371673584
2,AN,0.5,0.0,3.424650192260742
2,AN,1.0,0.0,2.5485310554504395
2,AN,2.0,0.0,1.9586220979690552
2,AN,4.0,0.0,1.444636344909668
2,AN,8.0,0.0,1.2333245277404785
3,UU,0.0,0.8700000047683716,7.08796501159668
3,UU,0.1,0.009999999776482582,6.036158084869385
3,UU,0.25,0.0,5.757410526275635
3,UU,0.5,0.0,7.588929176330566
3,UU,1.0,0.0,7.658988952636719
3,UU,2.0,0.0,6.2287163734436035
3,UU,4.0,0.0,5.645170211791992
3,UU,8.0,0.0,4.874388694763184
