,Model,Attack Intensity,Accuracy,Confidence
30,AA,4.0,"tensor(0.1875, device='cuda:0')","tensor([3.7983, 3.9422, 0.7433, 0.0544, 0.7190, 2.5908, 0.2269, 0.5779, 0.0835,
        2.0602, 3.9135, 3.1428, 4.7475, 3.7432, 5.2614, 0.7658, 1.1033, 1.9826,
        1.1266, 3.0947, 2.9442, 2.2737, 1.6208, 2.7154, 2.6330, 1.3376, 0.1402,
        1.0754, 0.2549, 1.3630, 2.8617, 0.0339], device='cuda:0')"
31,AA,8.0,"tensor(0.1562, device='cuda:0')","tensor([1.4022, 0.5765, 1.9820, 3.6847, 0.0105, 1.3062, 0.5149, 0.4783, 0.3166,
        0.4394, 1.3786, 0.0617, 2.5354, 1.2039, 0.0899, 2.6047, 0.8773, 1.2976,
        3.6762, 2.7022, 2.0047, 1.3211, 2.4378, 0.8051, 5.2511, 4.6157, 4.1503,
        3.9048, 0.2985, 3.4845, 2.3220, 0.6022], device='cuda:0')"
32,AN,0.0,"tensor(0.6250, device='cuda:0')","tensor([5.9401, 0.8832, 3.7992, 0.6459, 1.9715, 5.1035, 2.8768, 4.4527, 1.1276,
        0.2842, 0.4092, 3.7156, 0.7297, 0.2553, 0.9166, 5.3561, 2.2893, 2.7371,
        3.7739, 2.3119, 5.7068, 2.1528, 0.5904, 0.6128, 6.9794, 0.5558, 0.2763,
        4.5964, 5.2546, 6.1041, 0.7994, 1.6894], device='cuda:0')"
33,AN,0.1,"tensor(0.5938, device='cuda:0')","tensor([3.5600, 1.9312, 2.9838, 5.1255, 1.0158, 3.6833, 0.1518, 4.5968, 0.7731,
        3.1174, 0.2643, 4.3635, 3.7230, 0.2170, 2.7769, 1.2543, 0.0739, 1.3204,
        6.8153, 2.3440, 1.3097, 5.4011, 4.8977, 1.4466, 4.8057, 0.8359, 1.4771,
        2.1442, 0.0537, 3.1859, 1.9140, 2.1692], device='cuda:0')"
34,AN,0.25,"tensor(0.6875, device='cuda:0')","tensor([3.4970, 1.7041, 4.7833, 6.0634, 1.0223, 1.5233, 0.8658, 3.9720, 0.4347,
        0.0952, 1.0487, 0.5718, 6.5596, 1.6705, 0.6496, 5.6951, 3.3167, 7.8871,
        2.1558, 1.7263, 1.4616, 2.8353, 8.6992, 2.7999, 1.3963, 3.0505, 1.6220,
        0.9744, 1.1037, 0.3307, 0.0800, 3.5367], device='cuda:0')"
35,AN,0.5,"tensor(0.2812, device='cuda:0')","tensor([3.3716, 2.0403, 0.8997, 0.2211, 2.2099, 0.8630, 4.3397, 0.3816, 0.8342,
        0.5025, 1.2509, 0.6514, 6.6566, 3.1224, 2.7080, 3.7319, 2.7460, 1.6417,
        0.6511, 3.8373, 4.4320, 1.8360, 0.2848, 4.9877, 3.3405, 3.9397, 0.7692,
        2.3873, 1.3216, 2.9044, 2.7821, 3.0729], device='cuda:0')"
36,AN,1.0,"tensor(0., device='cuda:0')","tensor([ 1.4221,  6.9139,  5.7848,  2.6806,  4.3307,  4.6124,  1.5601,  6.1928,
         6.9976,  8.4744,  5.1796,  1.1902, 10.3792,  5.7376,  1.1344,  4.5472,
        11.6281,  6.9564,  7.3650,  3.4672,  4.9941,  0.7031,  2.8438,  8.4738,
         9.2283,  4.0576,  7.8787,  0.6250,  5.6130,  5.8342,  3.7060,  6.4701],
       device='cuda:0')"
37,AN,2.0,"tensor(0., device='cuda:0')","tensor([ 3.7045,  7.1858,  4.1507, 11.5316,  5.7010,  4.6058,  7.6491,  2.5596,
         0.2204,  4.1606,  0.6454,  5.5868,  7.7236,  5.8267, 11.0434,  4.3679,
         1.7296,  2.8909,  1.4190,  3.4244,  5.4926, 10.9156,  6.2092,  0.1090,
         4.3117,  0.4770,  7.9359,  4.8903,  7.6505,  3.7348,  6.9185,  9.2393],
       device='cuda:0')"
38,AN,4.0,"tensor(0.0312, device='cuda:0')","tensor([6.3203e+00, 6.1719e+00, 8.2194e+00, 6.3721e+00, 2.5700e+00, 5.6367e+00,
        2.3727e+00, 7.3835e+00, 7.6137e-01, 3.7247e+00, 3.9971e+00, 6.9531e-03,
        4.9206e+00, 5.0875e+00, 3.9470e+00, 6.9363e+00, 4.5544e+00, 7.1132e+00,
        6.6231e+00, 6.2557e+00, 7.6097e+00, 3.0586e+00, 5.2330e+00, 7.9356e+00,
        1.2702e+01, 3.8180e+00, 1.0083e+01, 6.9204e+00, 5.4721e+00, 2.2947e+00,
        8.0267e+00, 3.8531e+00], device='cuda:0')"
39,AN,8.0,"tensor(0., device='cuda:0')","tensor([ 6.4559,  6.4603, 10.8259,  3.4840,  8.2458, 11.9127,  1.4523,  5.3183,
         7.5462,  8.6416, 11.3163,  7.1238,  7.9941,  5.9777,  6.3156,  8.4780,
         6.0947,  2.2450, 10.9630,  4.0562,  6.3064,  8.6250,  4.3494,  6.0756,
         2.1831,  5.8102, 11.7334,  2.4108,  3.5129,  2.9262,  8.3849,  3.7746],
       device='cuda:0')"
