Run,Model,Attack Intensity,Accuracy,Confidence
1,AA,0.0,0.699999988079071,2.1234381198883057
1,AA,0.1,0.0,3.9339447021484375
1,AA,0.25,0.009999999776482582,3.7659456729888916
1,AA,0.5,0.009999999776482582,3.9017891883850098
1,AA,1.0,0.009999999776482582,3.834381103515625
1,AA,2.0,0.0,4.149009704589844
1,AA,4.0,0.009999999776482582,3.7851173877716064
1,AA,8.0,0.009999999776482582,4.017134666442871
1,AN,0.0,0.6499999761581421,2.7737553119659424
1,AN,0.1,0.0,8.38296890258789
1,AN,0.25,0.0,8.399581909179688
1,AN,0.5,0.0,7.463006496429443
1,AN,1.0,0.0,8.1079740524292
1,AN,2.0,0.0,8.327095031738281
1,AN,4.0,0.0,8.954822540283203
1,AN,8.0,0.0,8.411406517028809
2,UU,0.0,0.8799999952316284,7.370325088500977
2,UU,0.1,0.0,15.021764755249023
2,UU,0.25,0.0,17.62666893005371
2,UU,0.5,0.0,17.69859504699707
2,UU,1.0,0.0,16.945960998535156
2,UU,2.0,0.0,19.440181732177734
2,UU,4.0,0.0,17.21434211730957
2,UU,8.0,0.0,18.18619155883789
2,UA,0.0,0.6699999570846558,2.4853296279907227
2,UA,0.1,0.11999999731779099,2.3478219509124756
2,UA,0.25,0.07999999821186066,2.2625317573547363
2,UA,0.5,0.14000000059604645,2.1697208881378174
2,UA,1.0,0.12999999523162842,2.663271427154541
2,UA,2.0,0.14999999105930328,2.151597023010254
2,UA,4.0,0.10999999940395355,2.084162473678589
2,UA,8.0,0.1599999964237213,2.2414071559906006
2,UN,0.0,0.6299999952316284,4.193789958953857
2,UN,0.1,0.0,6.772402286529541
2,UN,0.25,0.009999999776482582,7.302011489868164
2,UN,0.5,0.019999999552965164,7.386255264282227
2,UN,1.0,0.009999999776482582,7.625663757324219
2,UN,2.0,0.019999999552965164,7.448880672454834
2,UN,4.0,0.029999999329447746,7.899865627288818
2,UN,8.0,0.0,8.076835632324219
2,AU,0.0,0.7599999904632568,3.315237283706665
2,AU,0.1,0.0,9.728569984436035
2,AU,0.25,0.0,8.677459716796875
2,AU,0.5,0.0,10.76215648651123
